date,3D Printing,Apps,Camera Equipment,DIY Electronics,Fabrication Tools,Flight,Gadgets,Hardware,Makerspaces,Robots,Software,Sound,Space Exploration,Technology,Wearables,Web
20090601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090615,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
20090714,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0
20090714,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
20090714,0,0,0,0,0,0,0,0,0,0,42.85714286,0,0,0,0,0
20090731,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0
20090821,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0
20090825,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0
20090901,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
20090901,0,0,0,0,0,0,0,0,0,0,41.66666667,0,0,0,0,0
20090903,0,0,0,0,0,0,0,0,0,0,38.46153846,0,0,0,0,0
20090920,0,0,0,0,0,0,0,0,0,0,38.46153846,0,0,50,0,0
20091001,0,0,0,0,0,0,0,0,0,0,42.85714286,0,0,50,0,0
20091010,0,0,0,0,0,0,0,0,0,0,40,0,0,50,0,0
20091014,0,0,0,0,0,0,0,0,0,0,37.5,0,0,50,0,0
20091015,0,0,0,0,0,0,0,0,0,0,35.29411765,0,0,50,0,0
20091016,0,0,0,0,0,0,0,0,0,0,38.88888889,0,0,50,0,0
20091024,0,0,0,0,0,0,0,0,0,0,42.10526316,0,0,50,0,0
20091101,0,0,0,0,0,0,0,0,0,0,42.10526316,0,0,33.33333333,0,0
20091101,0,0,0,0,0,0,0,0,0,0,42.10526316,0,0,33.33333333,0,0
20091109,0,0,0,0,0,0,0,0,0,0,40,0,0,33.33333333,0,0
20091111,0,0,0,0,0,0,0,0,0,0,38.0952381,0,0,33.33333333,0,0
20091112,0,0,0,0,0,0,0,0,0,0,38.0952381,0,0,33.33333333,0,0
20091114,0,0,0,0,0,0,0,0,0,0,36.36363636,0,0,33.33333333,0,0
20091115,0,0,0,0,0,0,0,0,0,0,36.36363636,0,0,25,0,0
20091119,0,0,0,0,0,0,0,0,0,0,34.7826087,0,0,25,0,0
20091123,0,0,0,0,0,0,0,33.33333333,0,0,34.7826087,0,0,25,0,0
20091124,0,0,0,0,0,0,0,33.33333333,0,0,33.33333333,0,0,25,0,0
20091201,0,0,0,0,0,0,0,25,0,0,33.33333333,0,0,25,0,0
20091202,0,0,0,0,0,0,0,25,0,0,30.76923077,0,0,25,0,0
20091206,0,0,0,0,0,0,0,25,0,0,33.33333333,0,0,25,0,0
20091208,0,0,0,0,0,0,0,25,0,0,32.14285714,0,0,25,0,0
20091210,0,0,0,0,0,0,0,25,0,0,31.03448276,0,0,25,0,0
20091211,0,0,0,0,0,0,0,25,0,0,31.03448276,0,0,20,0,0
20091216,0,0,0,0,0,0,0,25,0,0,30,0,0,20,0,0
20091222,0,0,0,0,0,0,0,25,0,0,30,0,0,16.66666667,0,0
20091226,0,0,0,0,0,0,0,40,0,0,30,0,0,16.66666667,0,0
20091227,0,0,0,0,0,0,0,40,0,0,29.03225806,0,0,16.66666667,0,0
20100101,0,0,0,0,0,0,0,40,0,0,29.03225806,0,0,14.28571429,0,0
20100102,0,0,0,0,0,0,0,40,0,0,28.125,0,0,14.28571429,0,0
20100102,0,0,0,0,0,0,0,40,0,0,27.27272727,0,0,14.28571429,0,0
20100102,0,0,0,0,0,0,0,40,0,0,29.41176471,0,0,25,0,0
20100110,0,0,0,0,0,0,0,40,0,0,31.42857143,0,0,25,0,0
20100118,0,0,0,0,0,0,0,40,0,0,33.33333333,0,0,25,0,0
20100126,0,0,0,0,0,0,0,28.57142857,0,0,33.33333333,0,0,25,0,0
20100131,0,0,0,0,0,0,0,28.57142857,0,0,33.33333333,0,0,33.33333333,0,0
20100201,0,0,0,0,0,0,0,28.57142857,0,0,32.43243243,0,0,33.33333333,0,0
20100202,0,0,0,0,0,0,0,25,0,0,32.43243243,0,0,33.33333333,0,0
20100206,0,0,0,0,0,0,0,25,0,0,31.57894737,0,0,33.33333333,0,0
20100210,0,0,0,0,0,0,0,25,0,0,30.76923077,0,0,33.33333333,0,0
20100215,0,0,0,0,0,0,0,25,0,0,29.26829268,0,0,33.33333333,0,0
20100215,0,0,0,0,0,0,0,25,0,0,30.95238095,0,0,33.33333333,0,0
20100302,0,0,0,0,0,0,0,22.22222222,0,0,30.95238095,0,0,33.33333333,0,0
20100306,0,0,0,0,0,0,0,22.22222222,0,0,30.95238095,0,0,30,0,0
20100307,0,0,0,0,0,0,0,22.22222222,0,0,30.23255814,0,0,30,0,0
20100313,0,0,0,0,0,0,0,22.22222222,0,0,29.54545455,0,0,30,0,0
20100315,0,0,0,0,0,0,0,22.22222222,0,0,28.88888889,0,0,30,0,0
20100315,0,0,0,0,0,0,0,20,0,0,28.88888889,0,0,30,0,0
20100315,0,0,0,0,0,0,0,27.27272727,0,0,28.88888889,0,0,30,0,0
20100316,0,0,0,0,0,0,0,25,0,0,28.88888889,0,0,30,0,0
20100316,0,0,0,0,0,0,0,25,0,0,28.88888889,0,0,36.36363636,0,0
20100319,0,0,0,0,0,0,0,25,0,0,28.26086957,0,0,36.36363636,0,0
20100322,0,0,0,0,0,0,0,25,0,0,27.65957447,0,0,36.36363636,0,0
20100328,0,0,0,0,0,0,0,25,0,0,27.65957447,0,100,36.36363636,0,0
