school_name,latitude,longitude,avg_resale
BUKIT PANJANG PRIMARY SCHOOL,1.373472192,103.7693175,380898.26668431703
HAIG GIRLS' SCHOOL,1.311539114,103.9033936,355266.50243974914
TECK WHYE PRIMARY SCHOOL,1.383558303,103.7536828,356756.3167430541
JURONG PRIMARY SCHOOL,1.348684512,103.7329748,540946.5300750303
QUEENSTOWN PRIMARY SCHOOL,1.29559366,103.8075486,427942.0207705629
RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,967746.241390649
RAFFLES GIRLS' PRIMARY SCHOOL,1.330073919,103.8062213,614156.265625
ROSYTH SCHOOL,1.372915796,103.8746932,424583.7334884368
DAMAI PRIMARY SCHOOL,1.335351315,103.9212683,497954.61737064325
FUHUA PRIMARY SCHOOL,1.336403763,103.7366695,441943.3474416748
WOODLANDS PRIMARY SCHOOL,1.436746383,103.7917717,361169.6295975399
EUNOS PRIMARY SCHOOL,1.324388363,103.9043748,445651.4286898322
HENRY PARK PRIMARY SCHOOL,1.316725811,103.7842083,425964.6328462894
BENDEMEER PRIMARY SCHOOL,1.322208475,103.8653513,389062.95892287674
CORPORATION PRIMARY SCHOOL,1.35148549,103.7075784,430803.9307669689
YIO CHU KANG PRIMARY SCHOOL,1.377822709,103.8855687,424583.7334884368
BLANGAH RISE PRIMARY SCHOOL,1.276120344,103.8086284,375608.3642950404
ANG MO KIO PRIMARY SCHOOL,1.369092065,103.8390414,469365.5061158319
MAYFLOWER PRIMARY SCHOOL,1.376398737,103.8431658,469365.5061158319
TECK GHEE PRIMARY SCHOOL,1.365200631,103.8510322,469365.5061158319
TEMASEK PRIMARY SCHOOL,1.317706782,103.9455907,495662.35762825015
SI LING PRIMARY SCHOOL,1.432699866,103.7857788,361169.6295975399
JING SHAN PRIMARY SCHOOL,1.371892676,103.8518111,469365.5061158319
YISHUN PRIMARY SCHOOL,1.433496399,103.8340274,463265.31756831094
STAMFORD PRIMARY SCHOOL,1.303859599,103.8569551,441754.63101843814
FERNVALE PRIMARY SCHOOL,1.389979399,103.874101,424583.7334884368
TOWNSVILLE PRIMARY SCHOOL,1.360362634,103.8541855,469365.6713624952
RULANG PRIMARY SCHOOL,1.347189532,103.7187861,424578.2777972392
QIFA PRIMARY SCHOOL,1.312621542,103.75703,572160.5089595146
